# Data 1

list(n = 619)

# Data 2

air_temperature[]   cloud[]   gsr[]   hum[]   sap[]   rain[]   snow[]   feb[]   mar[]   apr[]   may[]   jun[]   jul[]   aug[]   sep[]   oct[]   nov[]   dec[]   hom_1[]   hom_2[]   hom_3[]
21.4  8.0  12.5  71.0  -5.2723684210525334  107.0  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
25.2  8.0  12.6  76.0  -5.2723684210525334  301.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
26.6  5.5  14.8  70.0  -4.072368421052602  94.5  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
23.1  6.9  10.8  70.0  -1.8723684210525562  281.0  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
18.5  6.6  8.6  63.0  2.627631578947444  43.5  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
12.3  5.7  6.9  56.0  2.127631578947444  43.0  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
8.1  4.6  5.9  56.0  2.8276315789474893  155.5  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
6.3  4.5  6.7  55.0  3.7276315789474666  136.0  0.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
6.9  4.7  8.7  52.0  1.027631578947421  45.0  0.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
7.8  5.6  11.7  47.0  -0.07236842105260166  10.0  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
15.3  7.5  11.7  67.0  -0.3723684210525562  143.0  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
17.9  7.0  14.7  63.0  -1.472368421052579  97.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
19.8  8.8  10.0  74.0  -4.672368421052511  121.5  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
26.1  5.6  15.2  71.0  -3.372368421052556  49.5  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
28.5  6.1  14.8  69.0  -1.1723684210525107  50.0  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
23.2  7.4  10.0  70.0  -1.3723684210525562  155.0  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
6.6  1.9  7.2  40.0  -0.8723684210525562  0.0  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
4.4  2.4  8.0  40.0  -0.1723684210525107  29.0  8.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
7.3  6.0  9.7  57.0  2.627631578947444  114.0  7.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
14.8  6.3  12.0  62.0  -1.3723684210525562  151.0  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
19.3  6.3  13.2  62.0  -0.1723684210525107  93.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
23.4  8.8  9.8  79.0  -4.472368421052579  270.5  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
27.1  7.5  13.2  73.0  -6.072368421052602  179.0  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
22.8  8.2  9.3  72.0  -1.472368421052579  246.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
17.8  7.9  6.4  67.0  1.4276315789473983  165.0  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
11.7  5.1  7.0  54.0  4.627631578947444  30.5  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
6.7  5.5  5.9  56.0  6.027631578947421  38.5  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
4.7  4.2  6.9  51.0  0.3276315789474893  67.5  0.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
5.1  5.2  9.2  48.0  -0.9723684210525789  75.0  15.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
14.3  7.7  13.4  65.0  1.4276315789473983  161.5  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
18.6  7.8  16.4  66.0  -1.972368421052579  151.0  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
21.6  9.3  10.3  78.0  -5.972368421052579  106.5  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
25.6  6.6  14.6  70.0  -4.572368421052602  175.5  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
27.3  5.3  16.9  67.0  -2.2723684210525334  26.5  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
25.2  5.8  13.1  67.0  -0.5723684210526017  99.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
17.3  7.7  7.5  69.0  3.2276315789474666  273.0  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
12.7  6.5  6.8  67.0  5.327631578947489  245.0  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
6.7  4.5  6.5  57.0  2.627631578947444  51.5  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
5.4  2.0  9.0  44.0  -0.7723684210525334  0.5  0.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
6.8  5.9  8.4  59.0  2.9276315789473983  128.0  1.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
9.0  7.2  10.3  59.0  1.7276315789474666  87.0  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
13.0  8.0  11.0  67.0  3.027631578947421  129.0  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
21.5  9.3  11.4  76.0  -3.872368421052556  186.0  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
23.9  6.9  14.5  77.0  -2.1723684210525107  102.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
25.1  8.0  12.7  76.0  -4.072368421052602  159.0  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
22.0  7.4  10.4  74.0  -1.6723684210525107  284.0  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
17.5  6.6  8.9  66.0  0.5276315789474211  155.0  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
11.2  5.7  6.9  59.0  4.427631578947398  78.0  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
7.3  4.2  7.4  52.0  1.6276315789474438  31.0  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
3.4  5.2  8.3  48.0  2.4276315789473983  19.5  0.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
4.9  4.3  11.4  47.0  1.6276315789474438  27.0  1.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
9.3  6.7  11.1  61.0  4.027631578947421  167.0  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
15.1  6.4  15.2  62.0  -0.5723684210526017  110.5  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
18.7  6.1  17.7  62.0  -2.0723684210526017  96.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
20.9  9.2  11.8  76.0  -4.372368421052556  202.5  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
25.8  7.4  16.7  72.0  -4.872368421052556  91.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
25.0  8.8  10.9  77.0  -7.172368421052511  290.5  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
24.3  7.9  11.6  72.0  -0.6723684210525107  233.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
18.7  5.8  10.3  67.0  6.027631578947421  60.0  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
14.8  6.0  7.6  65.0  4.7276315789474666  102.5  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
8.9  4.3  7.8  55.0  4.427631578947398  53.5  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
5.6  4.1  8.1  50.0  -2.5723684210526017  28.0  24.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
4.2  4.6  10.4  49.0  -0.1723684210525107  32.0  1.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
8.7  4.9  13.6  52.0  -0.7723684210525334  115.5  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
13.9  5.9  14.1  61.0  -1.6723684210525107  186.5  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
19.0  7.7  15.1  68.0  -1.3723684210525562  130.0  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
27.8  5.9  18.0  72.0  -3.0723684210526017  45.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
28.9  4.9  17.4  66.0  -3.6723684210525107  26.0  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
22.2  8.0  9.4  73.0  -0.6723684210525107  124.0  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
17.3  6.4  9.8  67.0  3.7276315789474666  147.0  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
12.9  5.0  8.4  60.0  3.9276315789473983  65.0  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
8.5  3.9  6.8  54.0  5.7276315789474666  27.0  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
6.6  3.3  8.0  53.0  2.3276315789474893  59.0  1.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
8.4  5.0  10.1  58.0  -2.372368421052556  96.0  0.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
9.9  5.8  13.0  51.0  -0.3723684210525562  92.0  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
13.9  6.8  14.1  59.0  0.7276315789474666  109.5  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
18.6  5.9  17.1  61.0  -3.472368421052579  148.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
24.4  6.5  17.2  69.0  -1.7723684210525334  63.0  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
25.2  7.5  13.4  72.0  -6.172368421052511  88.5  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
27.4  7.7  13.3  72.0  -4.672368421052511  104.5  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
24.1  8.1  10.5  71.0  0.42763157894739834  146.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
19.6  6.7  9.2  67.0  0.027631578947421076  320.5  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
14.3  7.8  6.4  67.0  5.327631578947489  182.5  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
10.1  4.1  7.6  54.0  5.527631578947421  43.0  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
5.6  4.1  8.3  52.0  -0.6723684210525107  88.5  2.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
5.2  4.1  11.7  44.0  1.6276315789474438  26.0  0.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
8.2  6.2  11.6  54.0  1.6276315789474438  173.5  1.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
13.6  7.4  13.6  63.0  2.4276315789473983  107.0  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
19.2  6.4  16.0  67.0  -1.972368421052579  154.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
23.6  8.3  13.4  72.0  -3.5723684210526017  172.5  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
23.8  9.0  11.6  79.0  -6.172368421052511  202.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
23.4  8.5  10.5  77.0  -3.872368421052556  168.5  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
23.0  7.4  10.6  73.0  -0.7723684210525334  181.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
18.2  6.2  10.4  64.0  1.8276315789474893  136.0  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
13.0  5.3  7.8  61.0  3.627631578947444  133.5  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
7.7  2.9  8.4  51.0  -3.872368421052556  34.0  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
4.4  2.9  10.1  44.0  -0.6723684210525107  3.5  0.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
5.3  5.5  9.6  51.0  -0.3723684210525562  38.0  2.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
9.0  6.0  13.8  58.0  2.027631578947421  113.0  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
13.9  5.7  16.6  57.0  -1.472368421052579  166.0  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
17.5  6.8  16.3  64.0  -3.6723684210525107  151.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
20.2  8.8  11.7  76.0  -3.7723684210525334  103.0  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
26.3  7.6  16.3  75.0  -2.7723684210525334  167.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
26.2  6.9  15.7  71.0  -7.472368421052579  133.0  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
21.8  7.7  11.9  71.0  -0.5723684210526017  138.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
17.6  6.3  10.6  63.0  1.2276315789474666  343.5  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
10.4  6.4  7.4  61.0  4.327631578947489  99.0  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
7.6  3.4  8.4  51.0  3.9276315789473983  7.5  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
5.8  4.8  9.4  51.0  1.027631578947421  32.5  2.0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
5.5  5.3  11.2  49.0  2.9276315789473983  51.5  0.0  1  0  0  0  0  0  0  0  0  0  0  1  0  0
9.9  5.8  12.3  56.0  1.8276315789474893  73.0  0.0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
14.0  5.9  14.9  62.0  1.527631578947421  134.0  0.0  0  0  1  0  0  0  0  0  0  0  0  1  0  0
20.7  5.6  18.6  67.0  -2.6723684210525107  85.5  0.0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
21.4  7.9  14.6  72.0  -6.672368421052511  224.5  0.0  0  0  0  0  1  0  0  0  0  0  0  1  0  0
23.1  8.4  12.0  76.0  -3.972368421052579  140.0  0.0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
27.1  6.2  14.0  75.0  -3.5723684210526017  152.5  0.0  0  0  0  0  0  0  1  0  0  0  0  1  0  0
22.3  7.5  9.5  73.0  -1.1723684210525107  371.5  0.0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
18.0  5.5  10.2  67.0  2.7276315789474666  159.5  0.0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
14.3  6.7  6.8  65.0  4.427631578947398  136.0  0.0  0  0  0  0  0  0  0  0  0  1  0  1  0  0
9.5  4.5  6.7  58.0  3.127631578947444  15.0  0.0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
